name_x,identifier,name_y,unique_name,key_cricinfo,key_cricinfo_2
W Jaffer,619aa81f,W Jaffer,W Jaffer,29646.0,
TH Wijewardene,6a6be119,TH Wijewardene,TH Wijewardene,50987.0,
L Ronchi,0fa5042b,L Ronchi,L Ronchi,7502.0,
SM Harwood,63bff7f9,SM Harwood,SM Harwood,5605.0,
MN van Wyk,710dd98c,MN van Wyk,MN van Wyk,47711.0,
LA Carseldine,d872f52a,LA Carseldine,LA Carseldine,4541.0,
AN Ghosh,7023d182,AN Ghosh,AN Ghosh,220435.0,
RR Raje,5f4e9e8f,RR Raje,RR Raje,290713.0,
Shoaib Ahmed,8a668774,Shoaib Ahmed,Shoaib Ahmed,317709.0,
C Nanda,f24ca2ba,C Nanda,C Nanda,32093.0,
S George,6d9e5a54,S George,S George,45389.0,
Mashrafe Mortaza,e186f49c,Mashrafe Mortaza,Mashrafe Mortaza,56007.0,
GAV Baxter,cb4b3ab0,GAV Baxter,GAV Baxter,36337.0,
NK Patel,a2870fb7,NK Patel,Niraj Patel,32240.0,
RJ Quiney,23ac69e6,RJ Quiney,RJ Quiney,211854.0,
SS Sarkar,caa89a48,SS Sarkar,SS Sarkar,34402.0,
SS Shaikh,5f5d3ad4,SS Shaikh,SS Shaikh,377437.0,
T Henderson,0a4ebc61,T Henderson,T Henderson,45434.0,
Yashpal Singh,297b26da,Yashpal Singh,Yashpal Singh,36130.0,
EC Hendrikse,3f2996c9,EC Hendrikse,EC Hendrikse,45688.0,
SM Katich,fdedb37c,SM Katich,SM Katich,6128.0,
WA Mota,3dba85c2,WA Mota,WA Mota,31041.0,
Mohammad Ashraful,2bb09eb2,Mohammad Ashraful,Mohammad Ashraful,55988.0,
RA Shaikh,7c390b03,RA Shaikh,RA Shaikh,279460.0,
MW Brown,d83d7796,MW Brown,MW Brown,44397.0,
IL Howell,c1cd91c3,IL Howell,IL Howell,45454.0,
KH Hurter,bda8cca8,KH Hurter,KH Hurter,45462.0,
ZTA Ndamane,545cc6db,ZTA Ndamane,ZTA Ndamane,46669.0,
A Uniyal,fdcb08c2,A Uniyal,A Uniyal,35586.0,
YA Abdulla,4353bba5,YA Abdulla,YA Abdulla,224367.0,
RS Gavaskar,9ff100a6,RS Gavaskar,RS Gavaskar,28792.0,
DR Martyn,69762509,DR Martyn,DR Martyn,6513.0,
Yashpal Sharma,e22d7ccb,Yashpal Sharma,Yashpal Sharma,36075.0,
C Ganapathy,798934ea,C Ganapathy,C Ganapathy,28764.0,
KAJ Roach,78eb4223,KAJ Roach,KAJ Roach,230553.0,
MB Parmar,86ae8ef2,MB Parmar,MB Parmar,240734.0,
Jaskaran Singh,d7b3a420,Jaskaran Singh,Jaskaran Singh,376102.0,
AA Bilakhia,bff458c6,AA Bilakhia,AA Bilakhia,26946.0,
T Thushara,b2ae53f5,T Thushara,T Thushara,49677.0,
AB Barath,d3a3e82d,AB Barath,AB Barath,274926.0,
MF Maharoof,ab89348d,MF Maharoof,MF Maharoof,49638.0,
AP Dole,dbc50253,AP Dole,AP Dole,236694.0,
ST Jayasuriya,f233bbb4,ST Jayasuriya,ST Jayasuriya,49209.0,
VM Bandiwadekar,e236db6b,VM Bandiwadekar,VM Bandiwadekar,281112.0,
C Madan,2eeb4370,C Madan,C Madan,31104.0,
K Sharma,661b0266,K Sharma,K Sharma,30012.0,
RS Sodhi,a3ecf01f,RS Sodhi,RS Sodhi,34078.0,
GR Viswanath,9333bc07,GR Viswanath,GR Viswanath,35712.0,
AC Voges,864c199e,AC Voges,AC Voges,8119.0,
JM Kemp,6581d753,JM Kemp,JM Kemp,45797.0,
K Goel,a1f1829d,K Goel,K Goel,28997.0,
S Tyagi,c24a2c5d,S Tyagi,S Tyagi,317784.0,
VRV Singh,034b4b7d,VRV Singh,VRV Singh,35281.0,
PD Collingwood,a386e91b,PD Collingwood,PD Collingwood,10772.0,
WPUJC Vaas,bcce309e,WPUJC Vaas,WPUJC Vaas,50804.0,
BG Jerling,26457e41,BG Jerling,BG Jerling,45726.0,
R Shankar,82f0b62e,R Shankar,R Shankar,277744.0,
